Phenotype	Sex	ab_r2	ab_r2_se	ab_inc_r2	ab_inc_r2_se	as_r2	as_r2_se	as_inc_r2	as_inc_r2_se	m_r2	m_r2_se	m_inc_r2	m_inc_r2_se
Height	combined	0.6344	0.0013	0.1007	0.0013	0.6084	0.0013	0.0746	0.0009	0.6379	0.0012	0.1041	0.0009
Height	female	0.2560	0.0036	0.2059	0.0034	0.2113	0.0025	0.1612	0.0024	0.2585	0.0105	0.2184	0.0026
Height	male	0.2497	0.0033	0.2068	0.0025	0.1958	0.0030	0.1528	0.0043	0.2457	0.0072	0.2117	0.0031
Testosterone	combined	0.8128	0.0014	0.0060	0.0001	0.8184	0.0013	0.0116	0.0002	0.8161	0.0020	0.0093	0.0019
Testosterone	female	0.0112	0.0007	0.0005	0.0001	0.0179	0.0013	0.0072	0.0009	0.0178	0.0015	0.0072	0.0011
Testosterone	male	0.0667	0.0013	0.0618	0.0014	0.0666	0.0010	0.0617	0.0010	0.0552	0.0096	0.0503	0.0093
BMI	combined	0.0690	0.0013	0.0584	0.0012	0.0458	0.0009	0.0351	0.0009	0.0653	0.0020	0.0547	0.0021
BMI	female	0.0646	0.0015	0.0588	0.0013	0.0422	0.0006	0.0363	0.0009	0.0607	0.0023	0.0550	0.0021
BMI	male	0.0625	0.0019	0.0601	0.0020	0.0370	0.0017	0.0346	0.0017	0.0588	0.0020	0.0565	0.0019
Creatinine	combined	0.2453	0.0117	0.0111	0.0004	0.2392	0.0118	0.0050	0.0004	0.2403	0.0118	0.0061	0.0007
Creatinine	female	0.0227	0.0015	0.0174	0.0013	0.0165	0.0003	0.0113	0.0003	0.0193	0.0007	0.0141	0.0007
Creatinine	male	0.0200	0.0015	0.0136	0.0008	0.0113	0.0011	0.0049	0.0006	0.0126	0.0013	0.0061	0.0009
Arm fat free mass (L)	combined	0.6998	0.0043	0.0242	0.0006	0.6917	0.0041	0.0161	0.0007	0.7011	0.0042	0.0256	0.0008
Arm fat free mass (L)	female	0.0743	0.0042	0.0690	0.0037	0.0448	0.0017	0.0395	0.0015	0.0639	0.0036	0.0586	0.0034
Arm fat free mass (L)	male	0.1292	0.0023	0.0830	0.0031	0.0982	0.0014	0.0520	0.0024	0.1331	0.0010	0.0869	0.0017
Arm fat free mass (R)	combined	0.7312	0.0010	0.0225	0.0004	0.7261	0.0024	0.0151	0.0007	0.7343	0.0012	0.0256	0.0007
Arm fat free mass (R)	female	0.0871	0.0011	0.0786	0.0014	0.0566	0.0008	0.0481	0.0010	0.0759	0.0023	0.0673	0.0021
Arm fat free mass (R)	male	0.1473	0.0020	0.0828	0.0018	0.1155	0.0034	0.0510	0.0025	0.1547	0.0023	0.0902	0.0023
IGF-1	combined	0.1387	0.0013	0.0702	0.0009	0.1230	0.0015	0.0546	0.0007	0.1311	0.0006	0.0626	0.0013
IGF-1	female	0.1475	0.0025	0.0656	0.0022	0.1364	0.0028	0.0544	0.0016	0.1367	0.0017	0.0567	0.0017
IGF-1	male	0.1210	0.0014	0.0769	0.0013	0.1006	0.0015	0.0565	0.0013	0.1145	0.0014	0.0704	0.0016
Weight	combined	0.2699	0.0016	0.0549	0.0012	0.2484	0.0014	0.0333	0.0009	0.2657	0.0012	0.0506	0.0017
Weight	female	0.0665	0.0029	0.0659	0.0028	0.0418	0.0014	0.0411	0.0014	0.0610	0.0020	0.0603	0.0019
Weight	male	0.0792	0.0015	0.0736	0.0010	0.0492	0.0006	0.0437	0.0010	0.0746	0.0027	0.0690	0.0026
Calcium	combined	0.0460	0.0010	0.0374	0.0005	0.0375	0.0009	0.0288	0.0004	0.0385	0.0009	0.0298	0.0004
Calcium	female	0.0622	0.0013	0.0365	0.0008	0.0537	0.0010	0.0280	0.0004	0.0553	0.0011	0.0296	0.0004
Calcium	male	0.0541	0.0013	0.0395	0.0009	0.0453	0.0013	0.0307	0.0008	0.0457	0.0013	0.0311	0.0007
Urate	combined	0.3330	0.0012	0.0557	0.0003	0.3305	0.0016	0.0533	0.0005	0.3308	0.0010	0.0534	0.0008
Urate	female	0.1472	0.0009	0.1068	0.0011	0.1398	0.0012	0.0994	0.0021	0.1395	0.0027	0.1011	0.0021
Urate	male	0.0592	0.0008	0.0576	0.0008	0.0544	0.0016	0.0530	0.0017	0.0559	0.0012	0.0544	0.0012
Diastolic BP	combined	0.0495	0.0015	0.0202	0.0005	0.0388	0.0005	0.0105	0.0001	0.0440	0.0007	0.0157	0.0010
Diastolic BP	female	0.0330	0.0011	0.0262	0.0009	0.0238	0.0006	0.0170	0.0006	0.0301	0.0013	0.0232	0.0012
Diastolic BP	male	0.0166	0.0003	0.0159	0.0003	0.0078	0.0003	0.0071	0.0002	0.0113	0.0006	0.0106	0.0007
Systolic BP	combined	0.1375	0.0010	0.0205	0.0001	0.1281	0.0012	0.0111	0.0003	0.1328	0.0016	0.0158	0.0006
Systolic BP	female	0.1636	0.0010	0.0249	0.0006	0.1556	0.0011	0.0168	0.0004	0.1606	0.0010	0.0218	0.0008
Systolic BP	male	0.0810	0.0015	0.0171	0.0005	0.0709	0.0013	0.0071	0.0004	0.0755	0.0017	0.0117	0.0007
RBC count	combined	0.3204	0.0014	0.0612	0.0012	0.3074	0.0013	0.0482	0.0012	0.3113	0.0039	0.0521	0.0042
RBC count	female	0.0981	0.0022	0.2512	0.1665	0.0865	0.0024	0.0747	0.0023	0.0936	0.0030	0.0818	0.0031
RBC count	male	0.1005	0.0014	0.0793	0.0014	0.0816	0.0016	0.0604	0.0016	0.0849	0.0097	0.0636	0.0095
Total protein	combined	0.0410	0.0029	0.0358	0.0029	0.0256	0.0013	0.0203	0.0013	0.0346	0.0028	0.0294	0.0028
Total protein	female	0.0363	0.0024	0.0351	0.0026	0.0240	0.0009	0.0227	0.0010	0.0297	0.0031	0.0284	0.0033
Total protein	male	0.0486	0.0033	0.0370	0.0030	0.0347	0.0011	0.0231	0.0007	0.0428	0.0024	0.0311	0.0022
Urea	combined	0.0979	0.0015	0.0225	0.0007	0.0894	0.0011	0.0141	0.0004	0.0924	0.0014	0.0171	0.0005
Urea	female	0.1158	0.0024	0.0211	0.0007	0.1088	0.0016	0.0141	0.0005	0.1112	0.0023	0.0166	0.0007
Urea	male	0.0587	0.0013	0.0249	0.0007	0.0495	0.0011	0.0157	0.0006	0.0521	0.0009	0.0183	0.0006
SHBG	combined	0.2330	0.0016	0.0648	0.0012	0.2330	0.0016	0.0647	0.0016	0.2271	0.0016	0.0588	0.0016
SHBG	female	0.0815	0.0014	0.0721	0.0016	0.0786	0.0015	0.0692	0.0019	0.0723	0.0015	0.0630	0.0019
SHBG	male	0.1783	0.0007	0.1096	0.0013	0.1782	0.0015	0.1095	0.0019	0.1719	0.0027	0.1034	0.0024
Whole body fat mass	combined	0.1150	0.0009	0.0511	0.0006	0.0938	0.0008	0.0299	0.0011	0.1098	0.0011	0.0458	0.0017
Whole body fat mass	female	0.0596	0.0011	0.0543	0.0011	0.0368	0.0014	0.0323	0.0009	0.0549	0.0019	0.0504	0.0018
Whole body fat mass	male	0.0621	0.0014	0.0544	0.0013	0.0390	0.0013	0.0312	0.0018	0.0555	0.0019	0.0478	0.0021
HbA1c	combined	0.0681	0.0007	0.0237	0.0005	0.0599	0.0013	0.0155	0.0011	0.0618	0.0009	0.0174	0.0006
HbA1c	female	0.0903	0.0024	0.0238	0.0009	0.0844	0.0017	0.0179	0.0015	0.0847	0.0015	0.0181	0.0010
HbA1c	male	0.0525	0.0004	0.0245	0.0005	0.0443	0.0018	0.0164	0.0015	0.0462	0.0013	0.0183	0.0010
Eosinophil percentage	combined	0.0565	0.0015	0.0479	0.0012	0.0417	0.0012	0.0331	0.0009	0.0457	0.0016	0.0371	0.0013
Eosinophil percentage	female	0.0443	0.0018	0.0437	0.0018	0.0378	0.0016	0.0372	0.0016	0.0398	0.0013	0.0395	0.0012
Eosinophil percentage	male	0.0545	0.0020	0.0535	0.0018	0.0355	0.0016	0.0345	0.0015	0.0398	0.0013	0.0388	0.0012
Lymphocyte percentage	combined	0.0672	0.0004	0.0485	0.0005	0.0533	0.0011	0.0346	0.0010	0.0565	0.0007	0.0378	0.0007
Lymphocyte percentage	female	0.0595	0.0009	0.0530	0.0008	0.0461	0.0018	0.0397	0.0016	0.0502	0.0005	0.0438	0.0005
Lymphocyte percentage	male	0.0594	0.0002	0.0460	0.0004	0.0453	0.0011	0.0319	0.0009	0.0483	0.0008	0.0350	0.0009
Forced vital capacity	combined	0.4981	0.0023	0.0225	0.0004	0.4884	0.0021	0.0128	0.0003	0.4956	0.0025	0.0199	0.0011
Forced vital capacity	female	0.2710	0.0022	0.0342	0.0009	0.2574	0.0026	0.0206	0.0009	0.2610	0.0067	0.0281	0.0019
Forced vital capacity	male	0.2303	0.0021	0.0356	0.0007	0.2137	0.0019	0.0189	0.0005	0.2262	0.0022	0.0315	0.0016
Waist circumference	combined	0.2599	0.0015	0.0363	0.0002	0.2436	0.0015	0.0200	0.0003	0.2553	0.0020	0.0317	0.0015
Waist circumference	female	0.0592	0.0010	0.0454	0.0006	0.0398	0.0012	0.0259	0.0008	0.0540	0.0023	0.0402	0.0020
Waist circumference	male	0.0574	0.0013	0.0473	0.0012	0.0359	0.0009	0.0266	0.0015	0.0512	0.0025	0.0409	0.0025
